x,y,r,g,b,cluster,cluster_cluster
516.0,792.0,35,81,30,12197,9
182.0,802.0,182,148,105,11386,14
350.0,804.0,205,43,174,8642,4
492.0,804.0,38,81,28,12197,9
166.0,810.0,221,124,161,9272,17
216.0,812.0,37,82,30,12197,9
536.0,812.0,36,83,31,12197,9
616.0,812.0,35,82,30,12197,9
524.0,814.0,34,82,31,12197,9
534.0,814.0,36,82,31,12197,9
556.0,820.0,35,81,29,12197,9
894.0,820.0,47,64,22,5745,9
34.0,822.0,213,95,166,7496,4
558.0,822.0,36,79,28,12197,9
78.0,824.0,37,54,34,8763,9
348.0,826.0,204,44,174,8642,4
352.0,826.0,203,43,174,8642,4
558.0,826.0,37,83,29,12197,9
560.0,826.0,37,84,30,12197,9
568.0,826.0,38,81,28,12197,9
130.0,830.0,206,43,173,8642,4
278.0,832.0,203,44,174,8642,4
562.0,832.0,38,80,29,12197,9
562.0,834.0,38,82,30,12197,9
234.0,838.0,191,26,172,1957,4
422.0,838.0,46,66,22,5745,9
502.0,844.0,37,81,28,12197,9
246.0,848.0,191,26,172,1957,4
164.0,850.0,191,27,173,1957,4
88.0,856.0,35,54,33,8763,9
426.0,856.0,35,53,35,8763,9
420.0,858.0,34,54,31,8763,9
250.0,862.0,109,24,105,7508,13
272.0,864.0,190,27,171,1957,4
562.0,864.0,38,82,29,12197,9
112.0,872.0,38,82,28,12197,9
118.0,884.0,220,124,158,9272,17
356.0,900.0,47,66,22,5745,9
26.0,904.0,189,27,173,1957,4
490.0,906.0,37,81,28,12197,9
224.0,912.0,115,25,102,7508,13
278.0,918.0,211,98,166,7496,4
228.0,924.0,36,54,34,8763,9
170.0,932.0,38,82,30,12197,9
546.0,940.0,207,225,89,841,7
274.0,944.0,220,125,156,9272,17
338.0,944.0,45,64,23,5745,9
560.0,946.0,210,223,90,841,7
148.0,952.0,46,66,25,5745,9
286.0,952.0,217,127,155,9272,17
510.0,954.0,100,108,41,5295,0
204.0,956.0,34,53,33,8763,9
618.0,956.0,99,108,41,5295,0
484.0,958.0,38,80,29,12197,9
618.0,958.0,210,223,91,841,7
624.0,960.0,212,223,90,841,7
294.0,964.0,37,81,30,12197,9
116.0,970.0,245,229,149,9178,5
398.0,980.0,36,52,35,8763,9
930.0,982.0,48,64,25,5745,9
94.0,990.0,47,67,22,5745,9
356.0,990.0,219,125,159,9272,17
100.0,996.0,36,80,28,12197,9
