x,y,r,g,b,cluster,cluster_cluster
136.0,812.0,174,151,138,10457,5
140.0,812.0,174,150,138,10457,5
142.0,812.0,172,150,138,10457,5
144.0,812.0,173,151,138,10457,5
146.0,812.0,173,150,138,10457,5
278.0,812.0,49,52,57,13325,15
136.0,814.0,173,151,138,10457,5
138.0,814.0,173,151,139,10457,5
144.0,814.0,173,151,139,10457,5
284.0,832.0,51,50,55,13325,15
284.0,836.0,52,51,55,13325,15
150.0,838.0,143,149,128,9788,5
152.0,840.0,141,147,126,9788,5
154.0,840.0,143,149,127,9788,5
156.0,840.0,143,148,127,9788,5
158.0,840.0,144,149,128,9788,5
160.0,840.0,144,148,127,9788,5
166.0,840.0,144,148,127,9788,5
168.0,842.0,144,149,127,9788,5
152.0,844.0,144,149,127,9788,5
154.0,844.0,141,147,125,9788,5
154.0,846.0,143,149,127,9788,5
148.0,848.0,143,147,126,9788,5
196.0,848.0,179,166,138,4085,5
198.0,848.0,179,167,139,4085,5
588.0,854.0,68,11,26,7843,19
592.0,854.0,67,13,26,7843,19
594.0,854.0,68,12,26,7843,19
386.0,862.0,113,8,36,4307,7
388.0,862.0,113,8,36,4307,7
386.0,864.0,113,8,36,4307,7
382.0,870.0,112,8,35,4307,7
420.0,872.0,52,51,55,13325,15
296.0,896.0,52,51,56,13325,15
178.0,900.0,202,180,158,8158,12
188.0,900.0,201,179,158,8158,12
374.0,900.0,218,5,23,11745,16
178.0,902.0,201,178,157,8158,12
180.0,902.0,201,177,157,8158,12
370.0,902.0,220,6,22,11745,16
380.0,902.0,218,3,20,11745,16
150.0,904.0,201,177,157,8158,12
152.0,904.0,201,177,158,8158,12
176.0,904.0,201,177,158,8158,12
156.0,906.0,200,177,158,8158,12
160.0,908.0,200,177,160,8158,12
560.0,910.0,114,9,35,4307,7
562.0,910.0,113,9,35,4307,7
572.0,910.0,113,9,34,4307,7
448.0,942.0,18,29,39,14653,11
328.0,944.0,52,51,55,13325,15
284.0,960.0,51,50,55,13325,15
938.0,968.0,177,166,139,4085,5
260.0,972.0,51,51,55,13325,15
276.0,974.0,52,51,56,13325,15
268.0,976.0,52,51,55,13325,15
268.0,978.0,51,50,55,13325,15
276.0,978.0,52,51,56,13325,15
272.0,980.0,52,52,56,13325,15
274.0,982.0,51,51,55,13325,15
268.0,984.0,52,51,55,13325,15
270.0,984.0,52,51,55,13325,15
206.0,986.0,52,52,55,13325,15
662.0,986.0,221,196,186,7157,1
280.0,988.0,52,51,55,13325,15
264.0,998.0,51,50,55,13325,15
688.0,998.0,220,196,185,7157,1
690.0,998.0,220,197,186,7157,1
280.0,1000.0,51,50,55,13325,15
676.0,1000.0,220,197,186,7157,1
678.0,1000.0,221,198,186,7157,1
260.0,1002.0,51,50,55,13325,15
440.0,1004.0,122,27,21,9916,7
444.0,1004.0,122,28,17,9916,7
450.0,1004.0,121,23,21,9916,7
456.0,1004.0,121,24,21,9916,7
636.0,1004.0,221,198,186,7157,1
638.0,1004.0,220,198,186,7157,1
640.0,1004.0,220,197,185,7157,1
642.0,1004.0,220,197,185,7157,1
696.0,1004.0,221,198,186,7157,1
924.0,1004.0,178,165,140,4085,5
