x,y,r,g,b,cluster,cluster_cluster
918.0,808.0,209,200,186,2574,2
514.0,812.0,66,78,101,14802,16
708.0,812.0,0,6,11,8945,8
952.0,812.0,210,199,185,2574,2
952.0,814.0,209,199,185,2574,2
954.0,814.0,210,200,186,2574,2
608.0,818.0,34,41,52,2721,5
608.0,820.0,35,41,53,2721,5
454.0,822.0,35,41,53,2721,5
948.0,824.0,223,213,201,14011,2
978.0,826.0,223,213,202,14011,2
608.0,828.0,35,41,53,2721,5
670.0,832.0,0,6,11,8945,8
920.0,834.0,224,213,201,14011,2
946.0,838.0,223,213,202,14011,2
946.0,842.0,223,213,202,14011,2
946.0,846.0,223,213,202,14011,2
970.0,846.0,223,213,200,14011,2
948.0,848.0,223,213,202,14011,2
972.0,848.0,224,214,201,14011,2
872.0,852.0,223,213,202,14011,2
656.0,854.0,234,0,36,10852,1
658.0,854.0,233,0,35,10852,1
654.0,856.0,232,0,32,10852,1
662.0,860.0,0,3,10,8945,8
114.0,878.0,228,225,225,10564,10
122.0,878.0,227,225,224,10564,10
120.0,880.0,232,229,228,7930,10
942.0,880.0,223,213,202,14011,2
120.0,882.0,232,229,228,7930,10
124.0,882.0,227,226,224,10564,10
942.0,882.0,222,213,201,14011,2
114.0,884.0,228,226,225,10564,10
118.0,884.0,231,229,228,7930,10
124.0,884.0,227,225,224,10564,10
334.0,884.0,0,4,10,8945,8
942.0,884.0,223,214,201,14011,2
116.0,886.0,228,225,223,10564,10
122.0,886.0,228,226,224,10564,10
944.0,894.0,209,199,185,2574,2
998.0,894.0,224,213,200,14011,2
358.0,896.0,90,63,52,14598,13
944.0,896.0,210,199,185,2574,2
968.0,896.0,224,214,201,14011,2
330.0,898.0,35,42,54,2721,5
968.0,898.0,224,214,201,14011,2
1000.0,898.0,224,214,201,14011,2
326.0,900.0,35,41,53,2721,5
330.0,900.0,34,41,53,2721,5
944.0,900.0,210,200,185,2574,2
1004.0,900.0,224,213,200,14011,2
1000.0,902.0,224,213,200,14011,2
374.0,904.0,0,2,11,8945,8
942.0,904.0,223,213,201,14011,2
942.0,906.0,223,213,201,14011,2
942.0,908.0,223,213,201,14011,2
970.0,908.0,224,213,201,14011,2
1000.0,910.0,224,213,200,14011,2
1000.0,912.0,224,213,200,14011,2
1000.0,914.0,224,213,200,14011,2
974.0,916.0,224,213,200,14011,2
1000.0,916.0,224,213,201,14011,2
980.0,920.0,224,213,200,14011,2
982.0,922.0,224,214,201,14011,2
1000.0,922.0,223,213,200,14011,2
942.0,924.0,210,199,185,2574,2
998.0,924.0,224,213,200,14011,2
1002.0,924.0,224,213,201,14011,2
558.0,926.0,0,5,9,8945,8
936.0,926.0,223,213,202,14011,2
998.0,926.0,224,214,201,14011,2
1002.0,926.0,224,213,201,14011,2
314.0,928.0,66,77,98,14802,16
558.0,928.0,0,6,9,8945,8
980.0,928.0,224,213,200,14011,2
1002.0,928.0,224,213,201,14011,2
312.0,930.0,65,78,99,14802,16
558.0,930.0,1,7,11,8945,8
1004.0,932.0,224,213,200,14011,2
864.0,934.0,223,213,202,14011,2
1004.0,934.0,224,213,201,14011,2
1000.0,936.0,224,214,201,14011,2
864.0,940.0,223,213,202,14011,2
868.0,940.0,223,213,202,14011,2
520.0,942.0,0,5,9,8945,8
522.0,942.0,0,6,10,8945,8
864.0,942.0,223,213,202,14011,2
534.0,946.0,1,5,10,8945,8
1004.0,946.0,224,213,201,14011,2
520.0,948.0,0,5,9,8945,8
522.0,948.0,0,5,10,8945,8
524.0,948.0,0,5,10,8945,8
526.0,948.0,0,5,10,8945,8
536.0,948.0,0,5,10,8945,8
1002.0,948.0,223,213,200,14011,2
996.0,950.0,224,213,200,14011,2
1000.0,950.0,224,213,200,14011,2
452.0,952.0,0,6,11,8945,8
532.0,952.0,0,5,10,8945,8
510.0,954.0,2,5,11,8945,8
538.0,954.0,0,5,9,8945,8
452.0,956.0,0,5,11,8945,8
538.0,956.0,0,3,10,8945,8
452.0,958.0,0,5,10,8945,8
532.0,960.0,0,4,11,8945,8
538.0,960.0,0,5,11,8945,8
450.0,964.0,0,6,11,8945,8
442.0,968.0,0,6,10,8945,8
996.0,972.0,224,214,201,14011,2
996.0,974.0,223,213,200,14011,2
564.0,1000.0,232,2,33,10852,1
278.0,1002.0,124,123,138,842,18
304.0,1004.0,35,41,53,2721,5
564.0,1004.0,233,0,33,10852,1
